shape_index	dc_asset_name	display_name	notes
0	(none)	None	sentinel value, not a catalog entry
106	image-wraith	Wraith
107	tlou-flame-ammo	Flamethrower Ammo
108	tlou-explosive	Explosive
109	tlou-firstaid	Bandage
110	tlou-nail-bomb	Mine
111	frame-angled2	Angled Pillars	see idx=17 note
112	frame-hexes	Hexes
113	background-rectangles	Rectangles
114	background-bulletring	Bullet Ring
115	background-plainshield	Plain Shield
116	image-rockon	Rock On
117	image-spookyeye	Spooky Eye
118	image-samurai	Samurai
119	tlou-upg-2x4	Modded 2x4
120	tlou-upg-bat	Modded Bat
121	tlou-upg-pipe	Modded Pipe
122	tlou-molotov	Molotov
123	frame-skullswirls	Skull Swirls
124	frame-sharpsquare	Sharp Square	dc_asset_name repeats at idx=7 with the SAME display name - genuine duplicate catalog entry
125	background-card	Card
126	background-circlecluster	Curved Cluster
127	image-antlers	Antlers
128	image-arm	Flex
129	image-demonskull2	Demon
130	tlou-part	Part
131	tlou-antlers	Stag
132	tlou-tactical	Pawn
133	tlou-medic	Nurse Hat
134	frame-techlines	Tech Lines
135	frame-leaves	Leaves
136	background-crescent	Crescent
137	image-suit	Suit
138	image-sharkjaw	Shark Jaw
139	tlou-supplies	Supplies
140	tlou-crafter	Crafter
141	tlou-rifle-bolt	Hunting Rifle	see idx=70 note
142	tlou-mil-sniper	Military Sniper
143	background-diamond2	Sideways Diamond
144	background-doublecurve	Doubled Curve
145	image-pirateskull	Pirate Skull
146	image-samuraisword	Katana
147	image-ninja2	Ninja Two
148	tlou-brawler	Brawler
149	tlou-burst-rifle	Burst Rifle
150	tlou-feather	Feather
151	tlou-helmet	Helmet
152	tlou-vest	Vest	last entry unlocked on the account tested (comradesean) - everything below this row was reported LOCKED
153	background-flower	Flower	LOCKED on tested account
154	background-helm	Steering Helm	LOCKED on tested account
155	image-abstracttriangle	Doubled Triangles	LOCKED on tested account
156	image-hammer	Gavel	LOCKED on tested account
157	image-skull	Skull	LOCKED on tested account
158	image-chopper	Chopper	LOCKED on tested account
159	tlou-kitty	Kitty	LOCKED on tested account
160	tlou-flamethrower	Flamethrower	LOCKED on tested account
161	tlou-scope	Scope	LOCKED on tested account
162	tlou-shotgun	Shotgun	LOCKED on tested account
163	background-medal	Star Medal	LOCKED on tested account
164	background-medic	Medic	LOCKED on tested account
165	image-knife	Knife	LOCKED on tested account
166	image-leaf	Leaf	LOCKED on tested account
167	image-ninja	Ninja	LOCKED on tested account
168	image-demonskull	Demonskull	LOCKED on tested account
169	tlou-brock	Brock the Brick	LOCKED on tested account
170	tlou-bow	Bow	LOCKED on tested account
171	tlou-shield	Armor	LOCKED on tested account
172	tlou-small-bomb	Lit Bomb	LOCKED on tested account
173	background-nosign	Denied	LOCKED on tested account
174	background-banner	Banner	LOCKED on tested account
175	image-hawk	Hawk	LOCKED on tested account
176	image-hook	Hook	LOCKED on tested account
177	image-spikedbat	Spiked Bat	LOCKED on tested account
178	tlou-automatic	Assault Rifle	LOCKED on tested account; see idx=56 note
179	tlou-bomb	Large Bomb	LOCKED on tested account
180	tlou-knight	Knight	LOCKED on tested account
181	tlou-hawk	Hawk Head	LOCKED on tested account
182	tlou-smokebomb	Smokebomb	LOCKED on tested account
183	shape-barbed	Barbed	LOCKED on tested account
184	shape-bearclaw	Bear Claw	LOCKED on tested account
185	image-monkeywrench	Monkeywrench	LOCKED on tested account
186	image-endlessknot	Endless Knot	LOCKED on tested account
187	image-kabuki	Kabuki	LOCKED on tested account
188	tlou-brass-knuckles	Brass Knuckles	LOCKED on tested account
189	tlou-firely	Firefly Emblem	LOCKED on tested account
190	tlou-hunter	Hunter Sign	LOCKED on tested account
191	tlou-skull	Bleached Skull	LOCKED on tested account
192	tlou-stealth	Stealth Mask	LOCKED on tested account
